	geometry	name
166	POINT (-3.685297544612524 40.40197212311381)	Madrid
167	POINT (18.09538887418091 59.35270581286585)	Stockholm
168	POINT (100.5146987936949 13.75194506408798)	Bangkok
169	POINT (-77.05200795343472 -12.04606681752557)	Lima
170	POINT (-17.47507598705056 14.71777758362327)	Dakar
171	POINT (28.02806386501948 -26.16809888138414)	Johannesburg
172	POINT (4.914694317400972 52.35191454666443)	Amsterdam
173	POINT (126.9977851382019 37.56829495838895)	Seoul
174	POINT (120.9802713035424 14.60610481344054)	Manila
175	POINT (13.39960276470055 52.52376452225116)	Berlin
176	POINT (15.31302602317174 -4.327778243275986)	Kinshasa
177	POINT (77.19998002005303 28.60002300924543)	New Delhi
178	POINT (23.73137522567936 37.98527209055226)	Athens
179	POINT (44.39192291456413 33.34059435615865)	Baghdad
180	POINT (38.69805857534868 9.035256221295754)	Addis Ababa
181	POINT (51.42239817500899 35.6738886270013)	Tehran
182	POINT (-58.39947723233144 -34.60055574990741)	Buenos Aires
183	POINT (69.18131419070505 34.51863614490031)	Kabul
184	POINT (16.36469309674374 48.20196113681686)	Vienna
185	POINT (121.568333333333 25.0358333333333)	Taipei
186	POINT (-77.01136443943716 38.90149523508705)	Washington, D.C.
187	POINT (-0.1186677024759319 51.5019405883275)	London
188	POINT (46.77079579868825 24.64277900781644)	Riyadh
189	POINT (18.43304229922603 -33.91806510862875)	Cape Town
190	POINT (37.6135769672714 55.75410998124818)	Moscow
191	POINT (-99.13293406029391 19.44438830141547)	Mexico City
192	POINT (12.481312562874 41.89790148509894)	Rome
193	POINT (116.3863398256594 39.93083808990906)	Beijing
194	POINT (36.81471100047145 -1.281400883237779)	Nairobi
195	POINT (106.8274917624701 -6.172471846798885)	Jakarta
196	POINT (-74.08528981377441 4.598369421147822)	Bogota
197	POINT (31.24802236112612 30.05190620510371)	Cairo
198	POINT (139.7494615705447 35.68696276437117)	Tokyo
199	POINT (2.33138946713035 48.86863878981461)	Paris
200	POINT (-70.66898671317483 -33.4480679569341)	Santiago
201	POINT (103.853874819099 1.294979325105942)	Singapore
